Count,Word,Description
4,religious,a.宗教的,信教的,虔诚的
3,heel,n.脚后跟,踵,鞋跟
2,advent,n.(重要事件等的)到来，来临
2,mutual,a.相互的，彼此的；共同的，共有的
2,parachute,n.降落伞 v.跳伞
2,slum,n.贫民窟,贫民区,陋巷
2,spade,n.铁锹,铲子
1,appendix,n.附录，附属物；阑尾，盲肠
1,bully,n.恃强欺弱者，小流氓 vt.威胁，欺侮
1,chamber,n.房间，室；会议室；议院；(动物体内)腔室
1,corridor,n.走廊,通路
1,doze,v./n.瞌睡;假寐
1,dozen,n.一打,十二个
1,exile,n.流放；被流放者 vt.流放，放逐，把…充军
1,henceforth,ad.今后
1,merchant,n.商人,零售商
1,miracle,n.奇迹,令人惊奇的人(或事)
1,pledge,n.誓约;保证 v.发誓;保证
1,preceding,a.在前的,在先的
1,substitute,n.代替者；替身；代用品 v.(for)代替,替换
1,sulfur,n.(sulphur)硫
1,suspicion,n.怀疑，猜疑；一点儿，少量
1,vegetarian,n.素食主义者
1,vigorous,a.朝气蓬勃的,精力旺盛的
